133.7146 132.1685 -27.6586 -19.7114 156.4450 101.8538 128.4853 135.5933 -41.1259
73.8688 73.0472 -14.7666 -10.7217 85.8560 56.2869 70.5250 74.7431 -22.7270
39.5336 39.3910 -7.3531 -5.5243 45.3939 30.1575 37.3350 39.8180 -12.1213
56.7323 56.0978 -11.2099 -8.2938 65.7830 43.2028 54.0701 57.4038 -17.3766
90.8559 89.8967 -18.6302 -13.5034 106.1092 69.1519 87.2145 92.1465 -27.7771
30.8466 30.9855 -5.6623 -4.4051 35.3596 23.4574 29.1554 31.0925 -9.2340
47.8938 47.9085 -9.4190 -7.0531 55.5598 36.3773 45.7659 48.4733 -14.3471
185.0422 183.2670 -39.0811 -28.0269 216.9748 140.1993 178.5180 187.3802 -56.1938
193.2988 191.3586 -41.0000 -29.2782 227.1733 146.8814 186.7741 196.3480 -58.8637
82.0597 81.5517 -17.0075 -12.4696 96.0549 62.3065 79.0628 83.3659 -24.6976
82.0019 81.4924 -17.0928 -12.5516 96.1162 62.2893 79.1370 83.3704 -24.6899
13.3518 14.2906 -2.1758 -2.0579 15.1106 10.0116 12.6736 13.4742 -3.4403
73.3641 73.1189 -15.3242 -11.3552 86.0294 55.6270 70.8927 74.6400 -21.8472
1.0067 1.0299 0.4215 0.3004 -0.0909 -0.6300 -0.3907 0.6674 1.4205
193.0061 191.2964 -41.3130 -29.6088 227.3187 146.5802 186.9588 196.4320 -58.3746
81.6024 81.9455 -17.1710 -12.6485 95.8904 61.7257 79.0859 83.0416 -23.9317
167.1553 166.1933 -35.7470 -25.7166 196.8811 126.8300 162.0248 170.1414 -50.2131
82.4889 81.3915 -16.5960 -11.9925 95.9823 62.9119 78.8165 83.4979 -25.5160
